carat	cert	price
0.3	GIA	1302
0.3	GIA	1510
0.3	GIA	1510
0.3	GIA	1260
0.31	GIA	1641
0.31	GIA	1555
0.31	GIA	1427
0.31	GIA	1427
0.31	GIA	1126
0.31	GIA	1126
0.32	GIA	1468
0.32	GIA	1202
0.33	GIA	1327
0.33	GIA	1098
0.34	GIA	1693
0.34	GIA	1551
0.34	GIA	1410
0.34	GIA	1269
0.34	GIA	1316
0.34	GIA	1222
0.35	GIA	1738
0.35	GIA	1593
0.35	GIA	1447
0.35	GIA	1255
0.36	GIA	1635
0.36	GIA	1485
0.37	GIA	1420
0.37	GIA	1420
0.4	GIA	1911
0.4	GIA	1525
0.41	GIA	1956
0.43	GIA	1747
0.45	GIA	1572
0.46	GIA	2942
0.48	GIA	2532
0.5	GIA	3501
0.5	GIA	3501
0.5	GIA	3501
0.5	GIA	3293
0.5	GIA	3016
0.51	GIA	3567
0.51	GIA	3205
0.52	GIA	3490
0.52	GIA	3635
0.52	GIA	3635
0.52	GIA	3418
0.53	GIA	3921
0.53	GIA	3701
0.53	GIA	3480
0.53	GIA	3407
0.54	GIA	3767
0.54	GIA	4066
0.55	GIA	4138
0.55	GIA	3605
0.55	GIA	3529
0.56	GIA	3667
0.56	GIA	2892
0.57	GIA	3651
0.59	GIA	3773
0.6	GIA	4291
0.62	GIA	5845
0.63	GIA	4401
0.64	GIA	4759
0.66	GIA	4300
0.7	GIA	5510
0.7	GIA	5122
0.7	GIA	5122
0.7	GIA	3861
0.71	GIA	5881
0.71	GIA	5586
0.71	GIA	5193
0.71	GIA	5193
0.72	GIA	5263
0.8	GIA	5441
0.82	GIA	4948
0.84	GIA	5705
0.85	GIA	6805
0.86	GIA	6882
0.89	GIA	6709
0.9	GIA	6682
0.5	GIA	3501
0.5	GIA	3432
0.51	GIA	3851
0.55	GIA	3605
0.56	GIA	3900
0.57	GIA	3415
0.6	GIA	4291
0.63	GIA	6512
0.7	GIA	5800
0.7	GIA	6285
0.7	GIA	5122
0.7	GIA	5122
0.7	GIA	5122
0.7	GIA	5122
0.71	GIA	6372
0.71	GIA	5881
0.71	GIA	5193
0.72	GIA	5961
0.72	GIA	5662
0.73	GIA	5738
0.73	GIA	5030
0.73	GIA	5030
0.73	GIA	4727
0.73	GIA	4221
0.74	GIA	5815
0.74	GIA	4585
0.75	GIA	7368
0.75	GIA	4667
0.75	GIA	4355
0.76	GIA	9885
0.77	GIA	6919
0.78	GIA	5386
0.8	GIA	4832
0.83	GIA	7156
0.9	GIA	7680
1	GIA	15582
1	GIA	11419
1	GIA	10588
1	GIA	9757
1	GIA	13913
1	GIA	10588
1	GIA	10713
1	GIA	9480
1	GIA	9896
1	GIA	9619
1	GIA	9169
1	GIA	9203
1	GIA	8788
1	GIA	8095
1	GIA	7818
1.01	GIA	16008
1.01	GIA	10692
1.01	GIA	9853
1.01	GIA	10272
1.01	GIA	9573
1.01	GIA	9153
1.01	GIA	8873
1.01	GIA	8873
1.01	GIA	8455
1.01	GIA	7895
1.02	GIA	10372
1.02	GIA	9666
1.02	GIA	10090
1.03	GIA	10900
1.04	GIA	10571
1.04	GIA	9563
1.05	GIA	8781
1.06	GIA	9743
1.06	GIA	9302
1.07	GIA	8945
1.1	GIA	9646
0.18	IGI	823
0.18	IGI	765
0.18	IGI	803
0.18	IGI	803
0.18	IGI	705
0.18	IGI	725
0.19	IGI	967
0.19	IGI	1050
0.19	IGI	967
0.19	IGI	863
0.19	IGI	800
0.19	IGI	842
0.19	IGI	800
0.19	IGI	758
0.2	IGI	880
0.2	IGI	880
0.2	IGI	705
0.2	IGI	638
0.21	IGI	919
0.21	IGI	1149
0.21	IGI	1057
0.21	IGI	919
0.22	IGI	1198
0.23	IGI	1248
0.23	IGI	1147
0.23	IGI	995
0.24	IGI	1108
0.25	IGI	1485
0.25	IGI	1283
0.25	IGI	1149
0.25	IGI	1082
0.26	IGI	1539
0.26	IGI	1365
0.26	IGI	1260
0.26	IGI	1121
0.27	IGI	1595
0.27	IGI	1233
0.28	IGI	1199
0.29	IGI	1471
0.29	IGI	1238
0.3	IGI	1580
0.3	IGI	1459
0.3	IGI	1459
0.3	IGI	1218
0.3	IGI	1299
0.31	IGI	1628
0.31	IGI	1628
0.31	IGI	1337
0.32	IGI	1462
0.33	IGI	1503
0.34	IGI	1773
0.34	IGI	1636
0.35	IGI	1821
0.35	IGI	1540
0.4	IGI	2276
0.41	IGI	1616
0.41	IGI	1506
0.47	IGI	2651
0.48	IGI	2383
0.5	IGI	3652
0.51	IGI	3722
0.51	IGI	3722
